date, pm25, pm10, o3, no2, so2, co
9/11, 106, 82, 22, 30, 7, 8
9/12, 130, 84, 18, 36, 7, 8
9/14, 190, 89, 16, 24, 7, 38
9/15, 165, 80, 52, 23, 7, 23
9/16, 149, 90, 40, 23, 7, 5
9/17, 153, 75, 34, 20, 7, 4
9/18, 122, 64, 29, 18, 7, 2
9/19, 104, 70, 46, 24, 7, 4
9/20, 138, 77, 44, 22, 7, 3
9/21, 150, 78, 71, 24, 7, 3
9/22, 147, 55, 27, 22, 7, 3
9/23, 98, 48, 27, 18, 7, 3
9/24, 74, 55, 60, 20, 7, 5
9/25, 108, 74, 59, 20, 7, 5
9/26, 133, 86, 18, 25, 7, 3
9/27, 143, 72, 47, 20, 7, 5
9/28, 115, 94, 43, 27, 7, 2
9/29, 154, 102, 46, 27, 7, 2
9/30, 155, 94, 52, 27, 7, 4
10/1, 149, 101, 51, 29, 7, 6
10/2, 153, 104, 60, 29, 7, 4
10/3, 162, 100, 66, 29, 7, 6
10/4, 161, 102, 76, 28, 7, 5
10/5, 160, 109, 65, 27, 7, 5
10/6, 159, 112, 63, 28, 7, 8
10/7, 159, 119, 69, 33, 7, 5
10/8, 171, 112, 73, 32, 7, 19
10/9, 167, 116, 54, 36, 7, 21
10/10, 168, 119, 81, 33, 7, 17
10/11, 173, 121, 76, 33, 7, 7
10/12, 177, 147, 91, 30, 7, 11
10/13, 237, 138, 54, 11, 7, 11
10/14, 192, 176, 49, 15, 7, 11
10/15, 198, 141, 55, 15, 7, 9
10/16, 193, 142, 40, 19, 7, 11
10/17, 190, 145, 82, 19, 7, 9
10/18, 197, 131, 62, 16, 7, 6
10/19, 178, 132, 70, 17, 7, 6
10/20, 183, 140, 65, 18, 7, 9
10/21, 184, 136, 37, 11, 7, 13
10/22, 177, 183, 90, 16, 8, 34
10/23, 223, 277, 58, 25, 7, 18
10/24, 269, 187, 80, 32, 10, 12
10/25, 225, 180, 85, 35, 7, 23
10/26, 225, 185, 64, 36, 8, 6
10/27, 221, 192, 36, 21, 4, 10
10/28, 236, 226, 53, 30, 7, 11
10/29, 247, 264, 36, 53, 12, 14
10/30, 291, 222, 45, 32, 5, 7
10/31, 265, 310, 50, 28, 6, 7
11/1, 318, 281, 52, 25, 8, 9
11/2, 297, 185, 42, 27, 9, 16
11/3, 214, 175, 35, 27, 8, 20
11/4, 201, 351, 22, 38, 7, 12
11/5, 344, 315, 44, 41, 10, 16
11/6, 343, 256, 26, 84, 14, 9
11/7, 287, 374, 57, 59, 14, 6
11/8, 370, 361, 46, 64, 21, 14
11/9, 372, 590, 38, 74, 14, 19
11/10, 518, 567, 39, 56, 10, 25
11/11, 493, 181, 29, 14, 9, 23
11/12, 240, 165, 38, 38, 6, 21
11/13, 224, 213, 51, 38, 6, 18
11/14, 257, 427, 43, 37, 7, 19
11/15, 451, 342, 57, 19, 3, 10
11/16, 377, 84, 31, 15, 5, 13
11/17, 169, 95, 34, 22, 5, 13
11/18, 166, 113, 59, 26, 5, 16
11/19, 192, 130, 57, 31, 6, 16
11/20, 202, 141, 53, 32, 4, 13
11/21, 221, 124, 47, 24, 5, 12
11/22, 194, 149, 51, 25, 7, 17
11/23, 221, 213, 45, 41, 8, 21
11/24, 267, 219, 58, 38, 7, 20
11/25, 285, 248, 28, 39, 5, 15
11/26, 324, 111, 28, 24, 5, 13
11/27, 187, 90, 33, 22, 5, 14
11/28, 155, 124, 51, 25, 6, 16
11/29, 193, 139, 61, 29, 7, 17
11/30, 206, 185, 61, 29, 7, 19
12/1, 259, 229, 60, 37, 9, 20
12/2, 306, 180, 57, 37, 5, 15
12/3, 272, 200, 60, 34, 8, 20
12/4, 272, 216, 51, 32, 6, 21
12/5, 297, 226, 47, 28, 5, 19
12/6, 328, 194, 53, 11, 2, 17
12/7, 297, 281, 46, 4, 8, 20
12/8, 372, 215, 54, 2, 6, 20
12/9, 301, 195, 44, 18, 8, 18
12/10, 265, 154, 26, 26, 9, 18
12/11, 217, 152, 18, 32, 5, 15
12/12, 222, 212, 15, 20, 4, 16
12/13, 288, 105, 25, 14, 3, 9
12/14, 184, 84, 32, 13, 3, 12
12/15, 166, 114, 27, 8, 12, 12
12/16, 194, 112, 24, 2, 3, 11
12/17, 178, 132, 24, 2, 4, 13
12/18, 192, 123, 38, 4, 4, 15
12/19, 192, 149, 48, 5, 6, 13
12/20, 229, 144, 44, 4, 7, 14
12/21, 224, 180, 47, 3, 12, 18
12/22, 252, 306, 39, 2, 11, 23
12/23, 368, 353, 40, 3, 11, 27
12/24, 410, 337, 34, 3, 10, 20
12/25, 385, 235, 39, 2, 8, 17
12/26, 305, 267, 41, 13, 9, 20
12/27, 323, 292, 43, 22, 7, 13
12/28, 355, 154, 31, 22, 7, 15
12/29, 173, 170, 38, 23, 6, 13
12/30, 210, 137, 29, 18, 5, 13
12/31, 224, 179, 23, 23, 6, 17
1/5, 180, 67, 5, 22, 6, 13
1/6, 157, 106, 9, 18, 6, 12
1/7, 221, 104, 27, 12, 5, 12
1/8, 201, 135, 11, 19, 4, 12
1/9, 231, 126, 23, 16, 7, 11
1/10, 223, 111, 30, 11, 5, 11
1/11, 203, 110, 35, 14, 5, 11
1/12, 197, 200, 36, 18, 7, 19
1/13, 285, 336, 34, 10, 8, 23
1/14, 410, 541, 19, 8, 8, 26
1/15, 541, 473, 28, 9, 16, 28
1/16, 496, 241, 31, 26, 5, 14
1/17, 350, 176, 16, 18, 5, 13
1/18, 308, 238, 17, 19, 8, 24
1/19, 319, 242, 14, 14, 4, 13
1/20, 333, 108, 22, 14, 4, 12
1/21, 199, 146, 38, 20, 6, 18
1/22, 228, 172, 16, 19, 5, 14
1/23, 289, 142, 26, 17, 5, 14
1/24, 235, 193, 13, 16, 5, 14
1/25, 310, 181, 28, 15, 6, 18
1/26, 256, 184, 41, 18, 7, 12
1/27, 279, 197, 38, 22, 8, 18
1/28, 253, 302, 27, 31, 13, 21
1/29, 366, 200, 39, 27, 6, 13
1/30, 285, 144, 33, 32, 8, 17
1/31, 217, 195, 44, 24, 10, 21
2/1, 251, 236, 36, 25, 8, 28
2/2, 299, 222, 40, 30, 12, 18
2/3, 273, 166, 24, 26, 10, 13
2/4, 230, 128, 14, 25, 6, 13
2/5, 195, 94, 25, 22, 3, 19
2/6, 171, 105, 22, 21, 8, 11
2/7, 174, 152, 31, 22, 11, 17
2/8, 232, 163, 34, 25, 11, 17
2/9, 254, 151, 19, 25, 13, 30
2/10, 190, 162, 35, 26, 11, 18
2/11, 231, 191, 36, 28, 12, 17
2/12, 267, 249, 33, 26, 14, 22
2/13, 314, 183, 32, 26, 10, 18
2/14, 246, 203, 37, 24, 10, 25
2/15, 265, 165, 32, 24, 9, 21
2/16, 231, 204, 34, 29, 12, 18
2/17, 250, 212, 34, 29, 12, 20
