date, pm25, pm10, o3, no2, so2, co
1/9, 135, 59, 10, 11, 4, 6
1/10, 122, 97, 29, 16, 6, 8
1/11, 178, 95, 31, 14, 6, 10
1/12, 175, 128, 29, 16, 8, 14
1/13, 207, 261, 21, 24, 9, 29
1/14, 322, 212, 17, 19, 9, 20
1/15, 290, 131, 15, 12, 5, 9
1/16, 211, 139, 24, 14, 6, 9
1/17, 212, 154, 24, 16, 6, 11
1/18, 224, 172, 24, 15, 6, 12
1/19, 260, 210, 27, 19, 7, 16
1/20, 259, 252, 23, 16, 6, 18
1/21, 318, 195, 32, 17, 7, 21
1/22, 270, 115, 16, 13, 6, 9
1/23, 202, 125, 17, 10, 7, 18
1/24, 211, 139, 14, 16, 6, 21
1/25, 153, 148, 14, 12, 7, 19
1/26, 252, 136, 30, 14, 6, 15
1/27, 204, 115, 37, 19, 6, 9
1/28, 186, 110, 44, 21, 6, 10
1/29, 178, 159, 48, 22, 7, 19
1/30, 217, 137, 46, 19, 7, 11
1/31, 214, 203, 32, 21, 6, 21
2/1, 289, 170, 32, 24, 6, 13
2/2, 267, 147, 48, 17, 7, 11
2/3, 229, 131, 23, 13, 6, 11
2/4, 215, 84, 29, 13, 7, 8
2/5, 146, 157, 31, 17, 10, 12
2/6, 226, 145, 42, 13, 9, 14
2/7, 231, 160, 41, 22, 6, 8
2/8, 190, 163, 42, 20, 7, 11
2/9, 213, 127, 25, 18, 8, 6
2/10, 188, 101, 40, 16, 6, 5
2/11, 159, 113, 48, 20, 8, 5
2/12, 166, 125, 52, 20, 9, 6
2/13, 179, 150, 47, 17, 7, 10
2/14, 203, 151, 53, 15, 6, 11
2/15, 199, 136, 52, 18, 6, 11
2/16, 185, 145, 59, 21, 8, 11
2/17, 200, 151, 44, 22, 11, 10
2/18, 194, 129, 38, 21, 7, 9
2/19, 170, 109, 51, 20, 8, 4
2/20, 160, 111, 51, 19, 8, 3
2/21, 165, 125, 48, 19, 9, 7
2/22, 157, 145, 45, 15, 7, 6
2/23, 162, 141, 40, 5, 7, 6
2/24, 199, 175, 45, 8, 9, 12
2/25, 222, 142, 55, 7, 5, 5
2/26, 192, 71, 34, 6, 6, 2
2/27, 81, 74, 45, 6, 6, 2
2/28, 119, 79, 52, 6, 6, 4
3/1, 118, 109, 62, 7, 8, 6
3/2, 164, 131, 58, 8, 7, 9
3/3, 183, 111, 50, 14, 8, 5
3/4, 152, 105, 37, 15, 5, 4
3/5, 158, 83, 42, 17, 3, 4
3/6, 137, 100, 45, 22, 3, 5
3/7, 166, 177, 60, 38, 4, 15
3/8, 190, 144, 52, 26, 4, 14
3/9, 181, 108, 37, 23, 3, 7
3/10, 142, 108, 49, 21, 4, 5
3/11, 149, 121, 51, 20, 5, 5
3/12, 169, 113, 44, 23, 8, 8
3/13, 146, 134, 58, 24, 9, 8
3/14, 176, 153, 66, 26, 10, 11
3/15, 198, 142, 56, 28, 8, 9
3/16, 183, 139, 37, 23, 7, 6
3/17, 174, 157, 107, 28, 12, 9
3/18, 197, 159, 9, 14, 10, 13
3/19, 258, 132, 46, 15, 3, 10
3/20, 182, 148, 51, 15, 3, 8
3/21, 177, 139, 48, 18, 3, 4
3/22, 175, 133, 56, 11, 2, 4
3/23, 176, 166, 69, 20, 2, 9
3/24, 180, 167, 43, 20, 3, 11
3/25, 169, 131, 50, 18, 2, 5
3/26, 155, 136, 58, 17, 2, 4
3/27, 159, 138, 64, 23, 2, 6
3/28, 165, 153, 69, 22, 3, 12
3/29, 165, 166, 58, 22, 3, 10
3/30, 169, 216, 69, 30, 2, 13
3/31, 183, 205, 88, 28, 2, 12
4/1, 204, 133, 72, 19, 2, 6
4/2, 149, 201, 93, 29, 3, 10
4/3, 184, 179, 75, 22, 2, 10
4/4, 186, 165, 72, 23, 3, 10
4/5, 167, 159, 94, 23, 4, 12
4/6, 173, 194, 52, 27, 9, 17
4/7, 193, 176, 75, 31, 11, 16
4/8, 185, 170, 78, 31, 11, 18
4/9, 174, 175, 85, 30, 8, 17
4/10, 170, 162, 69, 26, 11, 10
4/11, 170, 181, 67, 29, 9, 15
4/12, 174, 149, 39, 27, 6, 15
4/13, 160, 183, 44, 25, 4, 14
4/14, 170, 237, 73, 14, 7, 4
4/15, 156, 137, 87, 23, 7, 8
4/16, 153, 165, 87, 29, 6, 15
4/17, 171, 177, 94, 34, 7, 17
4/18, 188, 199, 121, 35, 5, 23
4/19, 188, 216, 64, 26, 5, 12
4/20, 191, 204, 52, 22, 8, 9
4/21, 180, 271, 21, 22, 5, 9
4/22, 178, 158, 66, 21, 3, 8
4/23, 143, 182, 75, 25, 4, 15
4/24, 186, 206, 73, 22, 6, 9
4/25, 197, 205, 68, 16, 5, 5
4/26, 171, 152, 67, 27, 4, 11
4/27, 150, 180, 75, 30, 5, 16
4/28, 190, 208, 82, 31, 6, 18
4/29, 213, 189, 56, 25, 7, 13
4/30, 200, 191, 54, 22, 7, 14
5/1, 179, 149, 47, 17, 4, 7
5/2, 156, 156, 61, 11, 4, 6
5/3, 160, 244, 66, 15, 4, 6
5/4, 177, 140, 53, 14, 5, 7
5/5, 154, 123, 92, 29, 4, 12
5/6, 153, 164, 86, 25, 3, 10
5/7, 202, 154, 85, 30, 5, 13
5/8, 168, 139, 91, 17, 4, 6
5/9, 168, 110, 60, 12, 2, 6
5/10, 160, 103, 57, 12, 2, 5
5/11, 157, 107, 68, 14, 3, 6
5/12, 154, 110, 76, 15, 3, 8
5/13, 160, 147, 91, 23, 3, 12
5/14, 172, 149, 95, 29, 4, 14
5/15, 171, 175, 53, 27, 3, 16
5/16, 161, 323, 42, 17, 3, 6
5/17, 171, 154, 82, 19, 3, 5
5/18, 149, 143, 111, 17, 4, 6
